B37,74.8,-5.6,-6.6,74.8,8.7,229.6,22.2,-20.9,-5.7,-5,,B142,74.7,-5.5,-4.4,74.7,7.1,218.3,21.8,-20.9,-5.5,-2.4,,B23,74.4,-4.7,-3.8,74.4,6.1,218.7,7.6,-7.1,-1.9,-1.6
B38,76.2,-3.1,-5.2,76.2,6.1,239,20.2,-19.6,-3.4,-4,,B143,75.2,-3.7,-4.3,75.2,5.7,229,21,-20.5,-3.9,-2.3,,B24,74.9,-3.7,-3.9,74.9,5.4,226.6,7,-6.7,-1,-1.7
B39,75.3,-3,-3.2,75.3,4.4,226.6,20.8,-20.5,-3.3,-2,,B144,74.9,-3.6,-2.6,74.9,4.4,216.4,21.1,-20.7,-3.8,-0.8,,B25,74.4,-3.7,-2.9,74.4,4.7,218.2,7.2,-7.1,-0.9,-0.8
Y1,65.6,-6.1,-1.8,65.6,6.3,196.7,0,0,0,0,,B145,65.8,-6,-1.4,65.8,6.1,193.5,29.5,-28.9,-5.9,0.2,,B26,66,-6.2,-1.5,66,6.3,194,15,-14.7,-3.1,0.4
B1,65.8,-4.3,1,65.8,4.4,166,3,0.1,1.6,2,,B146,65.9,-4.4,-0.2,65.9,4.4,183,29.3,-28.9,-4.5,1.3,,B27,66.3,-5.5,-0.6,66.3,5.5,186.6,14.7,-14.4,-2.6,1.2
B2,66.2,-4.2,3.1,66.2,5.2,143.7,4.7,0.5,1.6,4,,B147,66.2,-5.1,1.1,66.2,5.2,167.4,29.1,-28.5,-5.2,2.5,,B28,66.3,-5.7,0.1,66.3,5.7,178.5,14.8,-14.4,-2.7,1.9
B3,66.3,-4.4,5.1,66.3,6.8,130.6,6.5,0.6,1.4,6,,B148,66.1,-5.2,2.8,66.1,5.9,151.1,29.5,-28.7,-5.2,4.1,,B29,66.1,-5.4,1.1,66.1,5.5,168.3,15.1,-14.6,-2.4,2.8
B4,65.2,-6.7,4.1,65.2,7.9,148.6,5.4,-0.4,-0.5,5,,B149,65.6,-6.1,1.9,65.6,6.4,162.7,29.9,-29.1,-6.1,3.2,,B30,66.1,-6.1,0.4,66.1,6.2,175.4,15.2,-14.6,-3.1,2.2
B5,64.6,-9,2.7,64.6,9.4,162.7,5,-0.8,-2.6,3,,B150,64.9,-7.4,0.4,64.9,7.4,176.2,30.7,-29.7,-7.3,2,,B31,65.6,-7,0,65.6,7,180.2,15.6,-15,-3.9,1.7
B6,65.7,-9.5,-0.6,65.7,9.5,184.1,3.2,0,-3,1,,B151,65.5,-8,-1.4,65.5,8.1,190.4,30.2,-29.2,-7.7,0.2,,B32,66.1,-7.3,-1.4,66.1,7.5,191.1,15.2,-14.6,-4.2,0.5
B7,66.6,-9.7,-4.4,66.6,10.7,204.8,4.1,0.8,-3.2,-2,,B152,66.3,-8.4,-3.3,66.3,9.1,201.7,29.6,-28.4,-8.2,-1.4,,B33,66.4,-7.5,-3.5,66.4,8.3,205.2,15,-14.3,-4.3,-1.3
B8,66.3,-9.9,-6,66.3,11.6,211.1,5.1,0.6,-3.4,-5,,B153,66.1,-8.6,-4.1,66.1,9.5,205.6,29.9,-28.7,-8.3,-2.1,,B34,66.1,-7.6,-3.9,66.1,8.6,207,15.4,-14.6,-4.5,-1.7
B9,65.6,-9.2,-8,65.6,12.3,220.9,6.2,0,-2.8,-6,,B154,65.4,-7.6,-6.1,65.4,9.8,218.7,30.5,-29.3,-7.4,-3.9,,B35,65.9,-7.5,-4.2,65.9,8.6,209.4,15.5,-14.7,-4.3,-1.9
B10,66.7,-7.2,-7.2,66.7,10.2,225.2,5,0.9,-1,0,,B155,66.7,-6.9,-5.3,66.7,8.8,217.6,29.1,-28.1,-6.8,-3.2,,B36,66.1,-6.5,-4,66.1,7.6,211.7,15.1,-14.6,-3.4,-1.7
B11,67.8,-5.4,-5.8,67.8,7.9,227.3,4.1,1.9,0.6,3,,B156,67.1,-5.8,-4.3,67.1,7.3,216.9,28.5,-27.8,-5.8,-2.3,,B37,66.3,-5.9,-3.5,66.3,6.8,210.7,14.8,-14.4,-2.9,-1.3
B12,67.1,-5.6,-1.2,67.1,5.8,192.5,1.5,1.3,0.3,4,,B157,66.4,-5,-2.5,66.4,5.6,206.5,28.9,-28.4,-5.1,-0.7,,B38,66,-5.4,-2.5,66,5.9,205.2,14.9,-14.7,-2.4,-0.4
B13,57.8,-10,4.8,57.8,11.1,154,9.9,-7,-3.5,6,,B158,57.9,-6.8,-1.6,57.9,7,193.8,36.7,-36,-6.7,0,,B39,57.7,-6.8,-1.1,57.7,6.9,189.3,22.5,-22.2,-3.8,0.7
B14,55.3,-1.8,0.8,55.3,1.9,155.8,10.3,-9.3,3.8,5,,B159,56.9,-3.8,0.8,56.9,3.9,167.2,37.2,-36.9,-4,2.3,,B40,58,-6,0,58,6,180,22.1,-21.8,-3,1.8
B15,57.2,-4.8,4.9,57.2,6.9,134.7,9.8,-7.6,1.1,4,,B160,57.7,-5.5,2.8,57.7,6.2,152.6,36.9,-36.2,-5.5,4.1,,B41,58,-5.9,1,58,6,169.9,22.2,-21.9,-2.9,2.7
B16,57.7,-5.4,6.7,57.7,8.6,128.4,10.5,-7.1,0.6,1,,B161,57.8,-5.9,4.3,57.8,7.3,143.7,37,-36.1,-5.9,5.4,,B42,58.1,-6.1,1.5,58.1,6.3,166.3,22.3,-21.8,-3.1,3.1
B17,56.7,-7.3,5.5,56.7,9.2,142.7,10.5,-8,-1,-2,,B162,57.3,-7.3,3.6,57.3,8.1,153.8,37.6,-36.6,-7.1,4.8,,B43,57.7,-6.8,1.4,57.7,7,168.1,22.7,-22.2,-3.7,3.1
B19,55.5,-10.4,4,55.5,11.2,158.6,11.2,-9,-3.8,-6,,B163,56.3,-9.3,2.3,56.3,9.6,165.9,38.8,-37.5,-9,3.6,,B44,57.2,-8,0.7,57.2,8,174.4,23.3,-22.6,-4.8,2.5
B20,57.1,-11.4,0.4,57.1,11.4,177.8,9.2,-7.6,-4.7,-5,,B164,57.2,-9.6,-0.1,57.2,9.6,181,37.8,-36.6,-9.2,1.4,,B45,57.6,-8.3,-0.4,57.6,8.3,183.2,22.9,-22.2,-5,1.3
B21,58.3,-11.1,-3.7,58.3,11.7,198.8,8.1,-6.5,-4.5,-4,,B165,58,-9.9,-2.4,58,10.2,193.9,37.2,-35.9,-9.4,-0.6,,B46,58,-8.9,-1.7,58,9,191,22.6,-21.9,-5.6,0.2
B22,57.5,-11.4,-6.1,57.5,13,208,9.5,-7.3,-4.8,1,,B166,57.4,-10,-4.3,57.4,10.9,203.3,37.8,-36.5,-9.6,-2.3,,B47,57.8,-8.8,-2.6,57.8,9.2,196.6,22.8,-22.1,-5.5,-0.5
B23,55.9,-9.8,-9.8,55.9,13.9,225,11.8,-8.7,-3.3,6,,B167,56.5,-8.2,-6.6,56.5,10.6,218.9,38.4,-37.3,-8,-4.4,,B48,57.4,-8.4,-3.9,57.4,9.3,205,23.1,-22.4,-5.2,-1.7
B24,57.2,-6.8,-9.1,57.2,11.4,233.2,10.1,-7.6,-0.6,2,,B168,57.5,-6.6,-5.9,57.5,8.9,221.7,37.2,-36.4,-6.5,-3.7,,B49,57.8,-7.1,-3.7,57.8,8,207.2,22.5,-22.1,-4,-1.5
B25,58.6,-3.2,-8.3,58.6,8.9,248.6,9,-6.3,2.5,6,,B169,58.3,-5.1,-4.7,58.3,6.9,222.5,36.2,-35.7,-5.1,-2.6,,B50,57.9,-6.4,-3,57.9,7.1,205.3,22.3,-22,-3.4,-0.9
B26,57.6,-3.7,-3.7,57.6,5.3,225.5,7.7,-7.2,2.1,8,,B170,57.6,-4.4,-2.4,57.6,5,209.3,36.6,-36.3,-4.5,-0.6,,B51,57.5,-6.1,-1.9,57.5,6.4,197.2,22.6,-22.4,-3.1,0
B27,47.2,-7,-0.9,47.2,7.1,187.7,16.6,-16.5,-0.8,7,,B171,48,-6.7,-0.3,48,6.7,183.2,45.5,-45,-6.6,1.2,,B52,48,-6.7,-0.3,48,6.7,183.2,31.2,-30.9,-3.6,1.4
B28,46.3,-2.6,0.4,46.3,2.7,171,17.8,-17.4,3,103,,B172,47,-4.1,0.5,47,4.1,172.3,46.1,-45.8,-4.2,2,,B53,47.7,-4.8,-0.5,47.7,4.9,186,31.3,-31.2,-1.9,1.3
B29,47.5,-5.2,3.7,47.5,6.4,144.5,17,-16.2,0.8,5,,B173,47.7,-5.7,2,47.7,6.1,160.4,45.7,-45.2,-5.7,3.4,,B54,47.9,-5.8,0.5,47.9,5.8,174.8,31.2,-30.9,-2.8,2.3
B30,48.4,-7,6.5,48.4,9.6,136.7,17.3,-15.5,-0.8,2,,B174,48.1,-6.6,3.8,48.1,7.6,149.8,45.6,-44.9,-6.5,5,,B55,48.3,-6.4,1.6,48.3,6.6,165.3,31,-30.7,-3.3,3.3
B31,47.4,-8.7,5,47.4,10.1,149.8,17.7,-16.4,-2.3,-2,,B175,47.6,-8,2.9,47.6,8.5,160.2,46.2,-45.3,-7.8,4.1,,B56,47.9,-7.7,1.4,47.9,7.8,169.3,31.5,-31,-4.5,3.1
B32,46.6,-10.8,4,46.6,11.6,159.3,18.4,-17.1,-4.2,-4,,B176,47,-8.8,2.2,47,9,165.9,46.7,-45.8,-8.5,3.5,,B57,47.6,-8.2,1.4,47.6,8.3,170.2,31.8,-31.2,-5,3
B33,47.7,-11.1,0.6,47.7,11.2,176.7,16.9,-16.1,-4.5,-7,,B177,47.4,-9.2,0.5,47.4,9.2,176.8,46.4,-45.5,-8.9,2,,B58,48.1,-8.2,-0.1,48.1,8.2,180.8,31.3,-30.8,-5,1.7
B34,48.5,-11.5,-2.3,48.5,11.8,191.6,16.1,-15.4,-4.9,-7,,B178,48.1,-9.6,-1.8,48.1,9.8,190.7,45.8,-44.8,-9.2,0,,B59,48.5,-9,-1,48.5,9,186.9,31,-30.5,-5.7,0.8
B35,47.6,-10.2,-5.1,47.6,11.4,206.3,16.8,-16.2,-3.7,-6,,B179,47.3,-8.6,-4,47.3,9.5,205,46.4,-45.6,-8.3,-2,,B60,47.7,-8.3,-2.7,47.7,8.7,198.1,31.6,-31.2,-5,-0.6
B36,46.2,-8,-8.8,46.2,11.9,227.9,18.6,-17.4,-1.7,-2,,B180,46.5,-7.4,-5.6,46.5,9.3,216.9,47,-46.3,-7.3,-3.4,,B61,47,-7.4,-3.7,47,8.3,206.4,32.1,-31.8,-4.3,-1.5
B37,47.3,-6.7,-7.9,47.3,10.4,229.9,17.3,-16.4,-0.5,1,,B181,47.4,-5.9,-5.3,47.4,8,221.8,46,-45.5,-5.9,-3.2,,B62,47.5,-6.1,-4.1,47.5,7.4,213.8,31.6,-31.3,-3.1,-1.8
B38,48.7,-3.5,-7.2,48.7,8.1,243.9,16.1,-15.1,2.2,2,,B182,48.1,-5.6,-4.7,48.1,7.3,219.7,45.3,-44.9,-5.6,-2.6,,B63,47.8,-5.9,-3.4,47.8,6.9,210.1,31.2,-31.1,-2.9,-1.3
B39,47.7,-3.2,-3.4,47.7,4.7,226.3,16.4,-16.1,2.5,5,,B183,47.4,-4.7,-2.4,47.4,5.3,207.2,45.7,-45.5,-4.8,-0.6,,B64,47.4,-6.2,-1.4,47.4,6.4,193.3,31.6,-31.4,-3.2,0.4
B40,36.6,-5.7,-0.3,36.6,5.7,183.4,26.1,-26.1,0.3,8,,B184,36.9,-5.6,-0.4,36.9,5.6,184,55.2,-54.9,-5.6,1.2,,B65,37.2,-5.5,-0.4,37.2,5.5,184.7,40.7,-40.6,-2.5,1.4
B41,35.2,-0.6,0.3,35.2,0.7,154.5,27.8,-27.3,4.9,6,,B185,36.1,-2.8,0.5,36.1,2.8,168.6,55.8,-55.7,-3.1,2,,B66,36.6,-4.3,1,36.6,4.5,166.7,41.3,-41.1,-1.5,2.7
B42,37,-3.4,3.2,37,4.7,136.5,26.3,-25.7,2.3,5,,B186,37.1,-4.1,1.9,37.1,4.5,154.4,55.1,-54.8,-4.3,3.3,,B67,37.2,-4.2,0.8,37.2,4.3,168.2,40.7,-40.6,-1.4,2.6
B43,37.9,-6.7,6.2,37.9,9.2,137.5,25.9,-24.9,-0.6,2,,B187,37.4,-6.1,3.4,37.4,7,151,55.1,-54.5,-6.1,4.6,,B68,37.9,-5.5,2.3,37.9,6,157.2,40.3,-40,-2.6,3.9
B44,37.4,-7.7,5.1,37.4,9.2,146.2,26.1,-25.3,-1.4,0,,B188,37.5,-7.3,3,37.5,7.9,157.4,55,-54.4,-7.1,4.3,,B69,37.8,-6.7,2,37.8,7,163,40.5,-40.1,-3.6,3.6
B45,37.2,-10.7,5.5,37.2,12,152.6,26.7,-25.5,-4.1,-3,,B189,37.1,-8.7,2.8,37.1,9.1,161.7,55.6,-54.8,-8.4,4.1,,B70,37.1,-6.5,1.3,37.1,6.6,168.3,41,-40.7,-3.4,3
